epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
,,,,,122,,,,,,,,,,,,0.6500771045684814,,
,,,,,123,,,,,,,,,,,,0.7143755555152893,,
,,,,,124,,,,,,,,,,,,0.9084718823432922,,
,,,,,125,,,,,,,,,,,,0.9384913444519043,,
,,,,,126,,,,,,,,,,,,0.8024745583534241,,
,,,,,127,,,,,,,,,,,,0.8942998647689819,,
,,,,,128,,,,,,,,,,,,0.6138772964477539,,
,,,,,129,,,,,,,,,,,,0.19855087995529175,,
,,,,,130,,,,,,,,,,,,0.15339295566082,,
,,,,,131,,,,,,,,,,,,0.2667645812034607,,
,,,,,132,,,,,,,,,,,,0.318118691444397,,
,,,,,133,,,,,,,,,,,,0.4778716564178467,,
,,,,,134,,,,,,,,,,,,0.8661237955093384,,
,,,,,135,,,,,,,,,,,,0.6697330474853516,,
,,,,,136,,,,,,,,,,,,0.625846266746521,,
,,,,,137,,,,,,,,,,,,0.6293623447418213,,
,,,,,138,,,,,,,,,,,,0.480540931224823,,
,,,,,139,,,,,,,,,,,,0.7049145698547363,,
,,,,,140,,,,,,,,,,,,0.5901012420654297,,
,,,,,141,,,,,,,,,,,,0.6247851252555847,,
,,,,,142,,,,,,,,,,,,0.6281046867370605,,
,,,,,143,,,,,,,,,,,,0.33526739478111267,,
,,,,,144,,,,,,,,,,,,0.4795629382133484,,
,,,,,145,,,,,,,,,,,,0.7433751821517944,,
,,,,,146,,,,,,,,,,,,0.49399036169052124,,
,,,,,147,,,,,,,,,,,,0.6714247465133667,,
,,,,,148,,,,,,,,,,,,0.8106364011764526,,
,,,,,149,,,,,,,,,,,,0.38888102769851685,,
,,,,,150,,,,,,,,,,,,0.5340179204940796,,
,,,,,151,,,,,,,,,,,,1.3316504955291748,,
,,,,,152,,,,,,,,,,,,0.2131723314523697,,
,,,,,153,,,,,,,,,,,,0.2650023400783539,,
,,,,,154,,,,,,,,,,,,0.3405587077140808,,
,,,,,155,,,,,,,,,,,,0.439145565032959,,
,,,,,156,,,,,,,,,,,,1.8678088188171387,,
,,,,,157,,,,,,,,,,,,0.3949500322341919,,
,,,,,158,,,,,,,,,,,,0.8630027174949646,,
,,,,,159,,,,,,,,,,,,1.9739408493041992,,
,,,,,160,,,,,,,,,,,,1.518201231956482,,
,,,,,161,,,,,,,,,,,,1.0764167308807373,,
,,,,,162,,,,,,,,,,,,0.5527759790420532,,
,,,,,163,,,,,,,,,,,,0.9348370432853699,,
,,,,,164,,,,,,,,,,,,0.043301042169332504,,
,,,,,165,,,,,,,,,,,,0.03761090338230133,,
,,,,,166,,,,,,,,,,,,0.03677251189947128,,
,,,,,167,,,,,,,,,,,,0.12052002549171448,,
,,,,,168,,,,,,,,,,,,0.2133650928735733,,
,,,,,169,,,,,,,,,,,,0.12986043095588684,,
,,,,,170,,,,,,,,,,,,0.04680389538407326,,
,,,,,171,,,,,,,,,,,,0.04576657712459564,,
,,,,,172,,,,,,,,,,,,0.052721261978149414,,
,,,,,173,,,,,,,,,,,,0.6031966805458069,,
,,,,,174,,,,,,,,,,,,2.3282437324523926,,
,,,,,175,,,,,,,,,,,,1.253838300704956,,
,,,,,176,,,,,,,,,,,,1.0316219329833984,,
,,,,,177,,,,,,,,,,,,1.6144092082977295,,
,,,,,178,,,,,,,,,,,,3.5178561210632324,,
,,,,,179,,,,,,,,,,,,2.8449673652648926,,
,,,,,180,,,,,,,,,,,,1.2766015529632568,,
2,,,,,809,,,,,,,,0.7578851580619812,0.3870537281036377,0.3870537281036377,0.7438433766365051,,0.28990763425827026,0.7438433766365051
2,,0.09840913861989975,0.14777252078056335,0.1983441412448883,809,0.002017033752053976,0.37757959961891174,0.37757959961891174,0.6980968713760376,,0.23888273537158966,0.6960799098014832,,,,,,,
,0.00017999999999999998,,,,810,,,,,,,,,,,,,,
3,,,,,819,,,,,0.9927274584770203,,,,,,,,,
3,,,,,829,,,,,0.6738687753677368,,,,,,,,,
3,,,,,839,,,,,0.9762501120567322,,,,,,,,,
3,,,,,849,,,,,1.037915825843811,,,,,,,,,
